,,,,,,,
43,Расположение блока с описанием доклада справа от фотографии,,,,,failed,Доклады отсутствуют во всех датах у всех спикеров
,"Блок ""Стоимость участия""",,,,,,
44,"Наличие заголовка ""Стоимость участия""",,,,,passed,Стиль написания заголовка отличается от стиля написания заголовков сайта (заголовок написан в столбик)
45,"Наличие блока из трех цен: Normal, Advanced, Ultimate",,,,,passed,Стиль написания блока Advanced отличается от стиля написания блоков Normal и Ultimate (написан в столбик)
46,Наличие описания в каждой из карточек,,,,,passed,Язык описания в каждой карточке отличается от языка сайта
47,Наличие цены в каждой из карточек,,,,,passed,"В карточке Advanced цена вылетает за пределы карточки с описанием (возможно, указана некорректно)"
48,Центральная карточка в блоке - Ultimate,,,,,failed,Центральная карточка в блоке - Advanced
49,"Наличие кнопки ""Купить билеты""",,,,,passed,"Язык кнопки отличается от языка сайта (""Buy now"")"
50,"Кнопка ""Купить билеты"" располагается в центре",,,,,failed,"Кнопка ""Купить билеты"" располагается в каждом блоке цены"
51,"Кнопка ""Купить билеты"" ведет на отдельную страницу покупки билетов",,,,,failed,"Кнопка ""Купить билеты"" ведет на хедер сайта"
,Блок с каруселью партнеров,,,,,,
52,Наличие блока с каруселью партнеров,,,,,passed,
53,Наличие карточек с логотипами партнеров в карусели,,,,,failed,"Отображаются не все логотипы партнеров в карусели, есть поля без изображения"
,"Блок ""Галерея""",,,,,,
54,"Наличие блока ""Галерея"" ",,,,,passed,
55,"Наличие заголовка ""Галерея""",,,,,failed,Заголовок отсутствует
56,"В блоке ""Галерея"" представлена фотогалерея с изображениями с предыдущих конференций",,,,,failed,"Некоторые изображения отсутсвуют на странице, но видны при нажатии на любое изображение в блоке, а затем при нажатии на слайдер"
,"Блок ""Карта""",,,,,,
57,Наличие карты с поинтером места проведения,,,,,failed,Карта отсутствует
58,"Карта с поинтером места проведения располагается ниже блока ""Галерея""",,,,,failed,Карта отсутствует
